FileName_hintX|Original Japanese Sentence|Hint|English Translation
BASIC5000_0073_hint1|さりげなく聡いこの子には、うかつな事はとても言えない。|さりげない＆聡い|I cannot tell this unintentional and smart child any thoughtless opinions.
BASIC5000_0073_hint2|さりげなく聡いこの子には、うかつな事はとても言えない。|さりげない聡さ|I cannot tell this intentionally smart child any thoughtless opinions.
BASIC5000_0076_hint1|被写体に気づかれないようにそぉっとカメラを取り出し、ファインダーを覗く。|気づかれないように取り出す|I take out my camera in a way that the subject does not notice, and I look through the viewfinder.
BASIC5000_0076_hint2|被写体に気づかれないようにそぉっとカメラを取り出し、ファインダーを覗く。|気づかれないように覗く|I take my camera out and look through the viewfinder in a way that the subject does not notice.
BASIC5000_0116_hint1|冬場に暖かい格好をしていないと、結局、ひどい風邪をひく羽目になる。|冬場の格好|If not wearing warm winter clothes, you will catch a bad cold.
BASIC5000_0116_hint2|冬場に暖かい格好をしていないと、結局、ひどい風邪をひく羽目になる。|冬場に暖かい|If not wearing warm clothes in winter, you will catch a bad cold.
BASIC5000_0119_hint1|手帳にお名前を書いていただけませんか。|書いていただく(補助動詞)|Could you write down your name on the handbook?
BASIC5000_0119_hint2|手帳にお名前を書いていただけませんか。|手帳をいただく(本動詞)|Could you write down your name on the handbook and give it to me?
BASIC5000_0120_hint1|校長は、卒業生一人一人と握手をした。|校長は卒業生|The president, who was a graduate student, shook hands with each person.
BASIC5000_0120_hint2|校長は、卒業生一人一人と握手をした。|校長は握手をした|The president shook hands with each graduate student.
BASIC5000_0121_hint1|山田君は、自分のボスに対する怒りを、抑えようと努めた。|自分のボス|Yamada tried to control the anger with his boss.
BASIC5000_0121_hint2|山田君は、自分のボスに対する怒りを、抑えようと努めた。|自分の怒り|Yamada tried to control his anger with the boss.
BASIC5000_0141_hint1|雷が、今にも落ちそうな激しい音で、ごろごろと鳴った。|雷が鳴った|It was thundering as if lightning was about to strike.
BASIC5000_0141_hint2|雷が、今にも落ちそうな激しい音で、ごろごろと鳴った。|雷が落ちそう|With lighting about to strike, it was thundering.
BASIC5000_0163_hint1|悪い道路をガクンガクンと走って行く自動車。|走って行く|The car is jumping up and down on the bumpy road.
BASIC5000_0163_hint2|悪い道路をガクンガクンと走って行く自動車。|走る＆行く|The car jumped up and down on the bumpy road and has gone.
BASIC5000_0372_hint1|ベティがパーティーに来た最初の女の子だった。|ベティが最初の女の子|Betty was the first girl who came to the party.
BASIC5000_0372_hint2|ベティがパーティーに来た最初の女の子だった。|ベティがパーティーに来た|The first girl was Betty who came to the party.
BASIC5000_0406_hint1|出で立ちが、何となく貴族っぽいような気がする。|何となく貴族っぽい|I feel that the appearance somehow looks like an aristocrat.
BASIC5000_0406_hint2|出で立ちが、何となく貴族っぽいような気がする。|何となく気がする|Somehow, I feel that the appearance looks like an aristocrat.
BASIC5000_0415_hint1|柔らかいウールの方が、粗いウールより高価で、その、どちらともナイロン製の人工繊維より、上等である。|どちらともナイロン製|Soft wool is more expensive than rough wool, and both are more expensive man-made nylon fibers.
BASIC5000_0415_hint2|柔らかいウールの方が、粗いウールより高価で、その、どちらともナイロン製の人工繊維より、上等である。|どちらとも上等|Soft wool is more expensive than rough wool, and both are more expensive than man-made nylon fibers.
BASIC5000_0448_hint1|軟木の絶縁された部屋、およびよいヒーターは、サウナのための絶対必要である。|軟木が絶縁された|A room where soft wood is insulated and a good heater are indispensable for a sauna.
BASIC5000_0448_hint2|軟木の絶縁された部屋、およびよいヒーターは、サウナのための絶対必要である。|軟木の部屋|A soft wooden insulated room and a good heater are indispensable for a sauna.
BASIC5000_0482_hint1|アフリカの飢えに苦しむ子供たちの事を思うと、胸がいたむ。|アフリカの飢え|Thinking about children suffering from hunger in Africa makes me sad.
BASIC5000_0482_hint2|アフリカの飢えに苦しむ子供たちの事を思うと、胸がいたむ。|アフリカの子供たち|Thinking about children in Africa suffering from hunger makes me sad.
BASIC5000_0501_hint1|アヤが完璧なドイツ語を話すのは、少しも不思議でない。|アヤが完璧|I would not be surprised if Aya is perfect and speaks German.
BASIC5000_0501_hint2|アヤが完璧なドイツ語を話すのは、少しも不思議でない。|アヤが話す|I would not be surprised if Aya speaks German perfectly.
BASIC5000_0545_hint1|がばっと気合を入れて、身を起こした。|がばっと気合を入れた|I suddenly fired myself up and woke up.
BASIC5000_0545_hint2|がばっと気合を入れて、身を起こした。|がばっと身を起こした|By firing myself up, I suddenly woke up.
BASIC5000_0546_hint1|がまんするのが難しいのは、彼の度を超した丁重さである。|彼の度|It is hard for me to put up with his degree of politeness, which exceeds the normal level of politeness.
BASIC5000_0546_hint2|がまんするのが難しいのは、彼の度を超した丁重さである。|彼の丁重さ|It is hard for me to put up with his extraordinary politeness.
BASIC5000_0658_hint1|国民総生産は、一国の財と、サービスを貨幣価値で測った、総生産高である。|財とサービス|Gross National Product means the gross production that currency value is measured by the wealth and services of a nation.
